time,value
6.59767,36340
6.607,37148
6.61635,38735
6.62568,38624
6.63502,38857
6.64437,38209
6.6537,38944
6.66303,36495
6.67238,38261
6.68172,37161
6.69105,34082
6.7004,40496
6.70973,45071
6.71907,44887
6.72842,39926
6.73775,35517
6.74708,31403
6.75643,30300
6.76577,29591
6.77512,29854
6.78445,31911
6.79378,38343
6.80313,44430
6.81247,50853
6.8218,44284
6.83115,38188
6.84048,32874
6.84982,34055
6.85917,31938
6.8685,32920
6.87783,32883
6.88718,30048
6.89652,31390
6.90585,30827
6.9152,31601
6.92453,33291
6.93387,29595
6.94322,28214
6.95255,29502
6.9619,31758
6.97123,32255
6.98057,30669
6.98992,32204
6.99925,32286
7.00858,38425
7.01793,57015
7.02727,71840
7.0366,57168
7.04595,39341
7.05528,28579
7.06462,27482
7.07397,25611
7.0833,27449
7.09263,31317
7.10198,31373
7.11132,34013
7.12065,34932
7.13,33841
7.13933,29944
7.14868,30579
7.15802,27064
7.16735,27463
7.1767,27090
7.18603,28759
7.19537,25977
7.20472,28054
7.21405,30122
7.22338,33222
7.23273,45887
7.24207,75857
7.2514,99262
7.26075,93942
7.27008,66045
7.27942,54243
7.28877,49182
7.2981,40894
7.30743,38993
7.31678,36694
7.32612,34313
7.33547,33730
7.3448,31925
7.35413,29399
7.36348,28637
7.37282,25228
7.38215,27246
7.3915,34031
7.40083,65836
7.41017,130515
7.41952,182481
7.42885,173186
7.43818,113532
7.44753,67771
7.45687,40494
7.4662,32975
7.47555,38859
7.48488,46981
7.49423,46606
7.50357,41541
7.5129,33312
7.52225,28188
7.53158,27735
7.54092,25717
7.55027,27146
7.5596,29338
7.56893,35102
7.57828,62845
7.58762,109031
7.59695,131037
7.6063,98551
7.61563,61874
7.62497,46725
7.63432,40807
7.64365,38073
7.65298,34361
7.66233,32031
7.67167,29370
7.68102,33373
7.69035,33940
7.69968,33950
7.70903,40169
7.71837,44932
7.7277,48295
7.73705,51192
7.74638,49587
7.75572,50422
7.76507,48293
7.7744,43662
7.78373,42393
7.79308,41589
7.80242,39481
7.81175,35138
7.8211,33221
7.83043,32038
7.83977,30246
7.84912,32851
7.85845,45904
7.8678,80657
7.87713,115395
7.88647,117460
7.89582,84356
7.90515,63644
7.91448,70786
7.92383,101965
7.93317,116365
7.9425,94348
7.95185,72150
7.96118,80030
7.97052,84530
7.97987,89043
7.9892,114245
7.99853,137112
8.00788,113562
8.01722,78409
8.02655,54674
8.0359,50735
8.04523,54595
8.05458,62204
8.06392,57999
8.07325,47619
8.0826,42163
8.09193,47562
8.10127,65204
8.11062,73173
8.11995,58662
8.12928,46407
8.13863,38185
8.14797,35202
8.1573,33633
8.16665,32537
8.17598,33817
8.18532,32379
8.19467,33351
8.204,35148
8.21333,35234
8.22268,35697
8.23202,39296
8.24137,40718
8.2507,42824
8.26003,43045
8.26938,41974
8.27872,36846
8.28805,32169
8.2974,31405
8.30673,33775
8.31607,33057
8.32542,34648
8.33475,31816
8.34408,30878
8.35343,31761
8.36277,31309
8.3721,29945
8.38145,33842
8.39078,38431
8.40012,46055
8.40947,48073
8.4188,54586
8.42815,58551
8.43748,52984
8.44682,44463
8.45617,39967
8.4655,38843
8.47483,38034
8.48418,37528
8.49352,36294
8.50285,36675
8.5122,35534
8.52153,35057
8.53087,33629
8.54022,35318
8.54955,38023
8.55888,41559
8.56823,48358
8.57757,51880
8.58692,48395
8.59625,44773
8.60558,44001
8.61493,44544
8.62427,43237
8.6336,40272
8.64295,39006
8.65228,34904
8.66162,37552
8.67097,38026
8.6803,37630
8.68963,37909
8.69898,38257
8.70832,38373
8.71765,38856
8.727,35891
8.73633,34120
8.74567,40672
8.75502,54128
8.76435,65266
8.7737,64057
8.78303,48557
8.79237,43547
8.80172,54273
8.81105,71277
8.82038,94716
8.82973,87652
8.83907,63219
8.8484,46491
8.85775,39336
8.86708,38990
8.87642,43244
8.88577,46791
8.8951,45231
8.90443,43932
8.91378,43574
8.92312,44601
8.93245,44740
8.9418,45932
8.95113,46511
8.96048,40944
8.96982,39951
8.97915,40582
8.9885,41797
8.99783,40452
9.00717,39520
9.01652,41151
9.02585,40926
9.03518,37447
9.04453,42004
9.05387,45217
9.0632,49334
9.07255,52862
9.08188,55727
9.09122,65599
9.10057,69401
9.1099,60947
9.11923,49622
9.12858,49982
9.13792,65986
9.14727,81919
9.1566,79796
9.16593,55220
9.17528,41767
9.18462,40626
9.19395,37374
9.2033,38921
9.21263,45631
9.22197,58503
9.23132,93112
9.24065,137066
9.24998,151497
9.25933,121154
9.26867,87747
9.278,64533
9.28735,52853
9.29668,45505
9.30603,41872
9.31537,49196
9.3247,57955
9.33405,78093
9.34338,92304
9.35272,84276
9.36207,88051
9.3714,162248
9.38073,258122
9.39008,272497
9.39942,199536
9.40875,121427
9.4181,84962
9.42743,70255
9.43677,68991
9.44612,60567
9.45545,50275
9.46478,43086
9.47413,39456
9.48347,36458
9.49282,41525
9.50215,48115
9.51148,54815
9.52083,50385
9.53017,47942
9.5395,50886
9.54885,57781
9.55818,65825
9.56752,82872
9.57687,98699
9.5862,88836
9.59553,64580
9.60488,60134
9.61422,67573
9.62355,61205
9.6329,53267
9.64223,51893
9.65157,52335
9.66092,47373
9.67025,48762
9.6796,46296
9.68893,43732
9.69827,42352
9.70762,40200
9.71695,43521
9.72628,96091
9.73563,424318
9.74497,1348896
9.7543,2384541
9.76365,2218636
9.77298,1209106
9.78232,504758
9.79167,240716
9.801,162082
9.81033,128045
9.81968,107135
9.82902,109967
9.83835,128526
9.8477,148676
9.85703,162926
9.86638,140764
9.87572,114141
9.88505,103131
9.8944,126541
9.90373,141057
9.91307,157417
9.92242,239381
9.93175,319936
9.94108,268975
9.95043,159545
9.95977,91198
9.9691,67207
9.97845,74117
9.98778,114886
9.99712,184345
10.00647,203990
10.0158,153726
10.02513,103320
10.03448,73467
10.04382,62897
10.05317,59908
10.0625,59881
10.07183,75857
10.08118,93911
10.09052,102650
10.09985,105251
10.1092,103122
10.11853,214000
10.12787,642940
10.13722,1300188
10.14655,1492129
10.15588,1421853
10.16523,2283046
10.17457,3782766
