(38, 53, 171, 184, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177, 178) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 177, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 178, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 179, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 179, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 179, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 179, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 182, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 182, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 182, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 183, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 183, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 172, 184, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 178, 179) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 178, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 178, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 178, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 178, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 179, 182) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 179, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 179, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 179, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 182, 183) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 182, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 182, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 183, 184) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 183, 195) : [1.0, 4.0564819207303355e+32],
(38, 53, 177, 184, 195) : [1.0, 4.0564819207303355e+32],
