D:\数据\20211117中山一医采样\ZS1E-Z-000001.D Wed Nov 17 19:37:15 2021,
Start of data points,
5.37407,60553
5.3834,63553
5.39273,72173
5.40208,82879
5.41142,83120
5.42075,74346
5.4301,68031
5.43943,62796
5.44877,58188
5.45812,55040
5.46745,53854
5.47678,55081
5.48613,55990
5.49547,55450
5.5048,60041
5.51415,59971
5.52348,67611
5.53282,91379
5.54217,115319
5.5515,115852
5.56085,89062
5.57018,71595
5.57952,61657
5.58887,58258
5.5982,58574
5.60753,57290
5.61688,57121
5.62622,53961
5.63555,54290
5.6449,53303
5.65423,57071
5.66357,56594
5.67292,63449
5.68225,79093
5.69158,82186
5.70093,75399
5.71027,69227
5.7196,68609
5.72895,67436
5.73828,64947
5.74763,68511
5.75697,77560
5.7663,89101
5.77565,95132
5.78498,94614
5.79432,82580
5.80367,68019
5.813,57525
5.82233,58082
5.83168,63066
5.84102,74581
5.85035,75941
5.8597,72274
5.86903,63200
5.87837,60460
5.88772,53815
5.89705,50606
5.9064,51291
5.91573,69479
5.92507,114252
5.93442,170183
5.94375,164272
5.95308,135720
5.96243,119413
5.97177,98642
5.9811,76254
5.99045,67339
5.99978,60636
6.00912,57358
6.01847,52582
6.0278,47584
6.03713,39572
6.04648,35747
6.05582,34954
6.06515,33480
6.0745,35265
6.08383,34372
6.09318,32639
6.10252,30358
6.11185,30571
6.1212,31139
6.13053,34846
6.13987,39623
6.14922,42060
6.15855,38044
6.16788,34097
6.17723,30503
6.18657,31626
6.1959,29275
6.20525,30599
6.21458,30504
6.22392,30653
6.23327,35530
6.2426,41784
6.25193,41889
6.26128,36529
6.27062,34769
6.27997,41957
6.2893,44939
6.29863,43479
6.30798,35241
6.31732,28248
6.32665,27701
6.336,26310
6.34533,27252
6.35467,27263
6.36402,28029
6.37335,30552
6.38268,45402
6.39203,76221
6.40137,166822
6.4107,492611
6.42005,1078564
6.42938,1259588
6.43872,827329
6.44807,319256
6.4574,100232
6.46675,50120
6.47608,38126
6.48542,36325
6.49477,32890
6.5041,29421
6.51343,29092
6.52278,31509
6.53212,30873
6.54145,29377
6.5508,28660
6.56013,27830
6.56947,27542
6.57882,27486
6.58815,29685
6.59748,32774
6.60683,35666
6.61617,37902
6.6255,34430
6.63485,36036
6.64418,34950
6.65353,35781
6.66287,38036
6.6722,36906
6.68155,37336
6.69088,34742
6.70022,38142
6.70957,44326
6.7189,47768
6.72823,42930
6.73758,35206
6.74692,32565
6.75625,29903
6.7656,28740
6.77493,30502
6.78427,34200
6.79362,40557
6.80295,43603
6.8123,46490
6.82163,41944
6.83097,36886
6.84032,32674
6.84965,37350
6.85898,40346
6.86833,39245
6.87767,33172
6.887,29560
6.89635,28130
6.90568,29642
6.91502,30198
6.92437,32741
6.9337,29066
6.94303,29428
6.95238,29248
6.96172,30888
6.97105,30342
6.9804,30417
6.98973,30617
6.99908,29842
7.00842,28977
7.01775,27312
7.0271,29431
7.03643,27717
7.04577,24108
7.05512,24662
7.06445,23436
7.07378,23904
7.08313,24774
7.09247,26809
7.1018,29549
7.11115,32369
7.12048,35452
7.12982,37075
7.13917,34645
7.1485,29722
7.15783,27866
7.16718,25948
7.17652,26440
7.18587,25558
7.1952,25661
7.20453,26051
7.21388,26521
7.22322,30226
7.23255,38795
7.2419,65706
7.25123,99426
7.26057,95830
7.26992,72154
7.27925,56998
7.28858,54294
7.29793,46117
7.30727,38599
7.3166,32899
7.32595,29358
7.33528,26171
7.34462,26632
7.35397,25954
7.3633,24616
7.37265,24974
7.38198,25006
7.39132,31602
7.40067,60633
7.41,128317
7.41933,186941
7.42868,181820
7.43802,126154
7.44735,71583
7.4567,41516
7.46603,32888
7.47537,33068
7.48472,45806
7.49405,49700
7.50338,47336
7.51273,38363
7.52207,31088
7.5314,26508
7.54075,27006
7.55008,26619
7.55943,27029
7.56877,29523
7.5781,32968
7.58745,33700
7.59678,35121
7.60612,33307
7.61547,34970
7.6248,35372
7.63413,36796
7.64348,34254
7.65282,32039
7.66215,29569
7.6715,27520
7.68083,29271
7.69017,30785
7.69952,33157
7.70885,33993
7.7182,38821
7.72753,36803
7.73687,34297
7.74622,33891
7.75555,36546
7.76488,41711
7.77423,39512
7.78357,36338
7.7929,37316
7.80225,36273
7.81158,33924
7.82092,29285
7.83027,29338
7.8396,28476
