Var1,Rt,TArea,Theight,Tstart,Tend
78,8.90833333333333,39.4420292738697,2.54075512603593,8.77916666666667,8.9625
79,8.98333333333333,4.7194801696212,0.35138385007524,8.9625,9.05833333333333
80,9.1,1.85444603295552,0.105575342165357,9.05833333333333,9.1625
81,9.19166666666667,0.585093887696296,0.0474343310486606,9.1625,9.22083333333333
82,9.26666666666667,0.699450623981278,0.0679037479166819,9.22083333333333,9.275
83,9.35416666666667,22.1882723604428,1.25502052474479,9.275,9.45
84,9.4875,1.64071952919924,0.124870224264111,9.45,9.53333333333333
85,9.57083333333333,0.781673114212075,0.0696957292957498,9.53333333333333,9.60833333333333
86,9.675,7.75784798991101,0.524308100657645,9.60833333333333,9.7875
87,9.90833333333333,4.24741540371057,0.302272497377327,9.8375,9.95833333333333
88,10.0041666666667,3.24505321442955,0.157350917507799,9.95833333333333,10.1333333333333
89,10.1875,0.0840440520094842,0.0106042625106944,10.1791666666667,10.2291666666667
90,10.275,0.525200072596492,0.0484929039782956,10.2291666666667,10.3208333333333
91,10.3666666666667,0.206265155326817,0.0177765589831617,10.3333333333333,10.425
92,10.5416666666667,0.252367295076132,0.020304786471126,10.4958333333333,10.6041666666667
93,11.9125,0.0893667523272322,0.0135565514997508,11.9041666666667,11.9458333333333
